Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude,Point
2024/04/22 06:31:00 PM,2024/04/22,18:31,2024,Monday,2024/04/22 06:31:00 PM,138444364020,1384443,240253394,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/04/09 09:55:00 AM,2024/04/09,09:55,2024,Tuesday,2024/04/09 10:20:00 AM,138073006373,1380730,240222515,06373,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/31 04:18:00 PM,2024/03/31,16:18,2024,Sunday,2024/03/31 04:19:00 PM,137879163010,1378791,240197344,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/31 03:45:00 PM,2024/03/31,15:45,2024,Sunday,2024/03/31 04:11:00 PM,137822871000,1378228,240204228,71000,Lost Property,Lost Property,Lost Property,Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/31 04:18:00 PM,2024/03/31,16:18,2024,Sunday,2024/03/31 04:18:00 PM,137822363010,1378223,240204353,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/31 04:18:00 PM,2024/03/31,16:18,2024,Sunday,2024/03/31 04:18:00 PM,137822327130,1378223,240204353,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/31 04:18:00 PM,2024/03/31,16:18,2024,Sunday,2024/03/31 04:18:00 PM,137822316710,1378223,240204353,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/24 03:00:00 AM,2024/03/24,03:00,2024,Sunday,2024/03/24 04:20:00 AM,137604328150,1376043,240187135,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/16 08:39:00 PM,2024/03/16,20:39,2024,Saturday,2024/03/16 08:39:00 PM,137399264020,1373992,240170475,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
2024/03/15 12:15:00 AM,2024/03/15,00:15,2024,Friday,2024/03/15 12:37:00 AM,137335404134,1373354,240166236,04134,Assault,Simple Assault,Battery,Open or Active,AVENUE N \ 04TH TI ST,Southern,Treasure Island,37.82357406616211,-122.36373901367188,POINT (-122.36373901367188 37.82357406616211)
